,a,b
sphinx-doc__sphinx-7440,0.88307338641239,-0.8503108620643616
sphinx-doc__sphinx-7454,1.1823188327008072,0.7125411033630371
sphinx-doc__sphinx-7462,1.812652592455967,5.177607536315918
sphinx-doc__sphinx-7590,1.5862819937826809,4.477531909942627
sphinx-doc__sphinx-7748,1.8927619007633472,5.358589172363281
sphinx-doc__sphinx-7757,1.794981211078379,-0.1646450012922287
sphinx-doc__sphinx-7889,1.033509950246057,-0.9250452518463135
sphinx-doc__sphinx-7910,1.0158433903972508,-0.6812060475349426
sphinx-doc__sphinx-7985,0.8520295817696388,4.672857284545898
sphinx-doc__sphinx-8035,1.5704501249176284,-0.28380364179611206
sphinx-doc__sphinx-8056,0.9200048537686445,2.433781623840332
sphinx-doc__sphinx-8120,1.228427002695356,-0.9517741799354553
sphinx-doc__sphinx-8265,1.529039911582657,2.251739025115967
sphinx-doc__sphinx-8269,1.0908090301664397,-0.9692748785018921
sphinx-doc__sphinx-8459,1.8124708740568727,-0.047025952488183975
sphinx-doc__sphinx-8475,0.7292796827039666,-1.4398051500320435
sphinx-doc__sphinx-8548,1.737116273387941,2.7215065956115723
sphinx-doc__sphinx-8551,1.4749579723997914,0.6438232064247131
sphinx-doc__sphinx-8593,2.028158838859708,0.16485542058944702
sphinx-doc__sphinx-8595,0.4771648749563276,-2.625504732131958
sphinx-doc__sphinx-8621,1.2486356081124472,0.7436143159866333
sphinx-doc__sphinx-8638,1.2557822756610635,2.8561623096466064
sphinx-doc__sphinx-8721,1.1712983028661834,-2.299783945083618
sphinx-doc__sphinx-9229,1.4428977422375793,4.5971527099609375
sphinx-doc__sphinx-9230,1.9975250825966764,0.7277188897132874
sphinx-doc__sphinx-9258,1.5997644208176236,1.1639223098754883
sphinx-doc__sphinx-9281,1.1370403446794473,-0.5411452651023865
sphinx-doc__sphinx-9320,1.191305005665443,-2.4022698402404785
sphinx-doc__sphinx-9367,1.2876559110954449,-2.0764098167419434
sphinx-doc__sphinx-9461,1.3665939199035777,4.328737258911133
sphinx-doc__sphinx-9591,0.97901510269394,1.4127089977264404
sphinx-doc__sphinx-9602,1.3972229969741408,3.1328508853912354
sphinx-doc__sphinx-9658,1.5412849817596017,1.0380996465682983
sphinx-doc__sphinx-9673,1.7890760470089828,-0.310568630695343
sphinx-doc__sphinx-9698,0.9637828204427638,-1.9697400331497192
sphinx-doc__sphinx-9711,0.7047403471944936,-2.2368648052215576
sympy__sympy-11618,1.6071830422525197,-1.8779752254486084
sympy__sympy-12096,1.218746896237253,-2.5839836597442627
sympy__sympy-12419,2.32108059231324,-0.21263918280601501
sympy__sympy-12481,1.3359386298865523,-1.0390441417694092
sympy__sympy-12489,1.6473262592690927,2.089526414871216
sympy__sympy-13031,0.7936631765051742,1.7089511156082153
sympy__sympy-13091,2.462876398576034,1.9428248405456543
sympy__sympy-13372,1.3706490697409932,-1.5800188779830933
